step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
40000,1.78,8718864,6_14_336_168,6,14,336,168,True,True
60000,1.7153,8718864,6_14_336_168,6,14,336,168,True,True
80000,1.6754,8718864,6_14_336_168,6,14,336,168,True,True
100000,1.6467,8718864,6_14_336_168,6,14,336,168,True,True
120000,1.6228,8718864,6_14_336_168,6,14,336,168,True,True
140000,1.6048,8718864,6_14_336_168,6,14,336,168,True,True
160000,1.5889,8718864,6_14_336_168,6,14,336,168,True,True
180000,1.5762,8718864,6_14_336_168,6,14,336,168,True,True
200000,1.5643,8718864,6_14_336_168,6,14,336,168,True,True
220000,1.5547,8718864,6_14_336_168,6,14,336,168,True,True
240000,1.5446,8718864,6_14_336_168,6,14,336,168,True,True
260000,1.5381,8718864,6_14_336_168,6,14,336,168,True,True
280000,1.5311,8718864,6_14_336_168,6,14,336,168,True,True
300000,1.5242,8718864,6_14_336_168,6,14,336,168,True,True
320000,1.5177,8718864,6_14_336_168,6,14,336,168,True,True
340000,1.5096,8718864,6_14_336_168,6,14,336,168,True,True
360000,1.5024,8718864,6_14_336_168,6,14,336,168,True,True
20000,2.0087,8082480,6_14_240_480,6,14,240,480,True,False
40000,1.7821,8082480,6_14_240_480,6,14,240,480,True,False
60000,1.7143,8082480,6_14_240_480,6,14,240,480,True,False
80000,1.6723,8082480,6_14_240_480,6,14,240,480,True,False
100000,1.6424,8082480,6_14_240_480,6,14,240,480,True,False
120000,1.6174,8082480,6_14_240_480,6,14,240,480,True,False
140000,1.5978,8082480,6_14_240_480,6,14,240,480,True,False
160000,1.5806,8082480,6_14_240_480,6,14,240,480,True,False
180000,1.5672,8082480,6_14_240_480,6,14,240,480,True,False
200000,1.5545,8082480,6_14_240_480,6,14,240,480,True,False
220000,1.5447,8082480,6_14_240_480,6,14,240,480,True,False
240000,1.5343,8082480,6_14_240_480,6,14,240,480,True,False
260000,1.5274,8082480,6_14_240_480,6,14,240,480,True,False
280000,1.5201,8082480,6_14_240_480,6,14,240,480,True,False
300000,1.5131,8082480,6_14_240_480,6,14,240,480,True,False
