step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
2460000,1.4167,4605184,8_10_256_256,8,10,256,256,False,True
2480000,1.4165,4605184,8_10_256_256,8,10,256,256,False,True
2500000,1.4164,4605184,8_10_256_256,8,10,256,256,False,True
2520000,1.4166,4605184,8_10_256_256,8,10,256,256,False,True
2540000,1.4159,4605184,8_10_256_256,8,10,256,256,False,True
2560000,1.4158,4605184,8_10_256_256,8,10,256,256,False,True
2580000,1.417,4605184,8_10_256_256,8,10,256,256,False,True
2600000,1.4148,4605184,8_10_256_256,8,10,256,256,False,True
2620000,1.4149,4605184,8_10_256_256,8,10,256,256,False,True
2640000,1.4154,4605184,8_10_256_256,8,10,256,256,False,True
2660000,1.4142,4605184,8_10_256_256,8,10,256,256,False,True
2680000,1.4146,4605184,8_10_256_256,8,10,256,256,False,True
2700000,1.4145,4605184,8_10_256_256,8,10,256,256,False,True
2720000,1.4139,4605184,8_10_256_256,8,10,256,256,False,True
2740000,1.4139,4605184,8_10_256_256,8,10,256,256,False,True
2760000,1.4142,4605184,8_10_256_256,8,10,256,256,False,True
2780000,1.4133,4605184,8_10_256_256,8,10,256,256,False,True
2800000,1.4128,4605184,8_10_256_256,8,10,256,256,False,True
2820000,1.4129,4605184,8_10_256_256,8,10,256,256,False,True
2840000,1.4124,4605184,8_10_256_256,8,10,256,256,False,True
2860000,1.4143,4605184,8_10_256_256,8,10,256,256,False,True
2880000,1.412,4605184,8_10_256_256,8,10,256,256,False,True
2900000,1.4113,4605184,8_10_256_256,8,10,256,256,False,True
2920000,1.412,4605184,8_10_256_256,8,10,256,256,False,True
2940000,1.412,4605184,8_10_256_256,8,10,256,256,False,True
2960000,1.4123,4605184,8_10_256_256,8,10,256,256,False,True
2980000,1.4119,4605184,8_10_256_256,8,10,256,256,False,True
3000000,1.409,4605184,8_10_256_256,8,10,256,256,False,True
3020000,1.4093,4605184,8_10_256_256,8,10,256,256,False,True
3040000,1.4082,4605184,8_10_256_256,8,10,256,256,False,True
3060000,1.4083,4605184,8_10_256_256,8,10,256,256,False,True
3080000,1.4079,4605184,8_10_256_256,8,10,256,256,False,True
